R2-USB,146.01,47.32,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,154.04,50.57,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,124.47,40.55,90.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,151.98,7.02,90.00,,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,67.95,19.98,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,66.32,19.95,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,90.79,34.19,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,45.34,31.73,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,51.73,31.81,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,57.01,31.73,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,34.82,44.26,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.18,107.85,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,45.90,107.11,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,91.80,62.10,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.57,107.01,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,66.94,17.32,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.82,107.06,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,153.83,11.01,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,64.69,10.44,0.00,,SJ
TP1,10.06,64.93,0.00,TPTP20R,TP20R
TP10,56.47,4.07,0.00,TPTP20R,TP20R
TP11,36.35,4.38,0.00,TPTP20R,TP20R
TP12,52.81,4.18,0.00,TPTP20R,TP20R
TP13,48.74,4.23,0.00,TPTP20R,TP20R
TP14,131.70,65.27,0.00,TPTP20R,TP20R
TP15,125.35,65.27,0.00,TPTP20R,TP20R
TP16,119.00,65.27,0.00,TPTP20R,TP20R
TP17,40.21,4.23,0.00,TPTP20R,TP20R
TP2,13.05,64.87,0.00,TPTP20R,TP20R
TP3,14.63,30.91,0.00,TPTP20R,TP20R
TP4,87.23,107.64,0.00,TPTP20R,TP20R
TP5,82.15,107.64,0.00,TPTP20R,TP20R
TP6,131.05,2.18,0.00,TPTP20R,TP20R
TP7,125.97,2.18,0.00,TPTP20R,TP20R
TP8,120.89,2.18,0.00,TPTP20R,TP20R
TP9,44.43,4.23,0.00,TPTP20R,TP20R
U1,119.58,36.89,270.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U2,15.92,52.49,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,89.21,54.22,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,130.75,39.54,0.00,MAX17048G+T10,SON50P200X200X80-9N
U5,39.38,53.03,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
